id,comment,category,label,note
1,ajker matchta darun chilo,sport,Positive,
2,Mashallah,,Positive,
3,Alhamdulillah,,Positive,
4,osthir,,Positive,
5,are somossa nai,,Positive,
6,uchit hoy ni,,Negative,
7,ekjn bangladeshii hisabe ami grbit aro grbit je amar desher ekjn kriketar ei birl smman orjn kreche egiye jao musta bishb drbare bangladeshke pricit kr janiye dao tomar agmnii barta,,Positive,
11,alhamdulillah obhinndn satkshiira basir ohngkar banglar taigar dja phiske onek onek shubheccha o ophurnt shubhkamna shubh sundr ebng kljanmy hok mostaphij tomar agamiir pthcla,,Positive,
12,aisisi brshsera udiiyman kriketar hlen katar mastar khjat mustaphijur rhman obhinndn phijj,,Positive,
13,obhinndn bangladesher grbdoya kri emn bhabei tomar saphlj objaht thakbe ebng deshke gourbanbit krbe,,Positive,
14,asha chil amader o jatiiy dl khelukkintu aj o bishb kapiye diccheamader elakar chele,,Positive,
15,eta amader bangladesher grb sabas bai mostaphij,,Positive,
16,ghunte diye toiri hcche medel,,Negative,
17,phaltu,,Negative,
18,mne hcchepshcimbnggbasiir khub jblche,,Negative,
19,indiyare keu mairala,,Negative,
20,obhinndn satkshiirar ei kriketar ke,,Positive,
21,bharter shrjntrkarii corder bari bari bangladeshider dui diner basi paykhana pjaket kre pathiye deya hok,,Negative,
22,ar ekta ktha na bllei nyai chi chi sb smy bangladesher bipkshe obsthan neyebhabe clte thakle bangladesh tim dhbngs hbe,,Negative,
23,bishbkap theke bad dibar jnji ei kajti krechil tai asun sbai mile bharter mukhe birtihin bhabe thuthu mari parle bas mari,,Negative,
24,oder bolingye kkhno kon truti chilna kintu rendiyar bacchara bangladesh dlke bhy pay er jnj ngn hstkshep kre ti asr theke oder khela onishcit krlallah rendiyader krikete tata palauk,,Negative,
25,shune ettgulan bhallagche â˜º kintu je janoyarer baccagulan eder ei hyranir shikar krche tader ki hbe,,Negative,
33,alhamdulillah khbrta shune bhal laglobisibi dl ghoshna kre je bhulta kreche al amin ke na niye taskin pheray seta kichuta pushe jabeonek shubh kamna taigars,,Positive,
35,abaro prmanit hlo oder boling ojakshn oboidh ghoshna chil rendiyar shrjntr,,Negative,
36,sedin jdi oshtreliyay priiksha kra hto tbe kà§ƒtkarj hto ota chilo bharter pata phand,,Negative,
42,orato bishber sbceye br bishbasghatkshala,,Negative,
43,ei desh je merudndhiin ta abarea prman hl,,Negative,
44,bhatrer dalalrra keu kichu ble na ken,,Negative,
49,core cor mastut bhai,,Negative,
50,amra dui jnkei cai,,Neutral,
51,taskin ke rakhar jnj dhnjbad,,Positive,
56,mani na manb na,,Negative,
57,ki je bhalo lagcheblar mto kono bhasha khuje pacchi na,,Positive,
58,gatio khushi,,Positive,
59,musllii kkhno juta cor hjà¦¼na brng juta cori musllii saje tdrup muslman kkhno jnggii hte parena brng jnggiirai muslman saje,,Negative,
60,deyal tula ucit chil bangladesher pksh theke ta na hye ulto hyeche hasina nij kshmta niye bjst bangladeshke pashbbrtii sntrasiider oboidh prbesh niye kon matha bjatha nei oboidh kshmta dkhldar hle ja hy bangladesher bhagjeo ta hcche,,Negative,
61,koushlta bhaloi enkeche mayanmar srkar ebar rohinggader marte subidha hbe tara paliye bangladeshe aste parbe na,,Negative,
64,egulo samanj kichu diner khel tamasha bjtiit ar kichu ny,,Negative,
65,amake keu keu bujhiye blben egulo desher ki kaje asbe,,Negative,
66,ami to blechi apnader bhabnao ek dhrner badha,,Negative,
67,obhiny kt ar krbi smalocna bhye obsr,,Negative,
68,oke onek upadhi deya jay corbatpar aro kt ki,,Negative,
69,mesir sbtai chil obhiny shudhu gol miser smalocnar hat theke bacte ei obhiny,,Negative,
70,jngnke ekta khela dekhijà¦¼e ekhn abar dle phirlo ekhn kon mukhe pherar ghoshna dejà¦¼,,Negative,
73,pare sbai bangladeshir sathe,,Negative,
74,obak hcchi na dekhe jkhn kichu manushruupii pshu ekhane negetibh kment krche,,Negative,
75,kar ghre mhila nei tbu amra mhila ba narii ba meye shunlei jen shriire grm pani dhalar mt ga jble othe,,Negative,
76,meyeder upr sb dosh na capiye amader nijeder mansiktar je bdl drkar setar ktha bhabun,,Negative,
77,chagl diye hal cash hy naki,,Negative,
78,ekta upjatiy chagler theke er ceye bhalo kment asha krata onjay,,Negative,
79,phlban bà§ƒkshe dhil chore sbai,,Negative,
82,râ€jabero keu keu majhe majhe opradhe jrit hy tahle ei niym onusare kthit bnduk juddhe tadero mara ucit,,Negative,
83,eisb lok miirjaphrer bngshdhrera ghrer kheye prer sunam kreera jekono desher sbceye br dushmnederke yekhane paoya jabe pakrao kre khanca bndi kra hok,,Negative,
84,ei kon ain ami pakistan ba bharter saport krtei paritar jnj jele ken jab,,Negative,
85,or kpal bhalo je oke pulish grephtar kre niyeche nahle jnta oke pitiye mere phelt oi haramir baccake amra charbnajel theke chara paoyar pr or kpale crm ksht ache,,Negative,
